HV1,IC1,IC2,IC3,IC4,IC5,AVGGIFT,TARGET_D
2171,495,508,492,519,17382,10.81818182,11
1070,271,388,330,394,13186,13.57142857,25
624,284,326,324,355,12121,8.434782609,10
687,257,310,291,328,10271,9,15
646,377,399,408,439,18681,4.666666667,5
352,150,192,215,256,8222,3.210526316,3
534,284,321,308,351,11303,5.290322581,3
1416,255,377,352,433,17990,12.31818182,12
1032,305,361,390,454,18324,6.919354839,10
2159,871,905,938,968,39328,7.333333333,21
609,289,307,331,366,13272,11.36363636,12
520,157,209,222,266,9635,5.195652174,5
866,308,375,410,465,16560,13.33333333,15
818,405,425,426,438,13951,27.28571429,45
409,260,297,295,340,12054,26.66666667,20
309,147,174,191,217,6852,4.454545455,5
987,393,408,420,427,13350,22,27
3693,358,393,393,442,16753,11.28571429,14
253,195,215,234,261,8988,4.230769231,10
817,467,482,496,518,15196,24.08333333,10
803,397,407,432,441,15380,20,25
557,279,337,321,372,12466,9.074074074,11
1151,352,366,443,453,16189,25,30
347,166,202,204,233,8507,14.75,16
1436,308,347,338,372,11970,25,20
1361,368,409,441,487,16200,5.833333333,5
846,330,459,399,513,16752,8.25,8
2424,426,446,483,542,19561,14.5,6
719,205,233,285,311,9311,15,20
1229,546,649,555,700,30054,5.214285714,5
2083,329,518,399,543,19613,5,5
873,211,291,251,319,14513,3.173913044,5
1530,442,545,535,619,23340,10.85714286,17
488,159,220,203,234,8393,11.94117647,5
1291,336,388,399,440,17946,8.666666667,11
1093,580,587,629,636,20815,7.333333333,11
504,289,355,296,356,11074,8.363636364,10
561,189,243,233,282,9557,8.333333333,10
5540,757,815,814,857,31488,21,26
569,328,336,342,359,11879,7.333333333,10
900,77,142,110,157,6905,10,17
398,243,277,270,309,9897,9.5,14
1497,581,678,667,762,30594,6.928571429,10
227,202,241,220,251,8250,2.445945946,6
554,312,346,333,356,15583,4.578947368,6
4058,578,701,671,797,37190,35,35
4954,1106,1195,1086,1146,42857,7.444444444,15
318,149,163,192,207,7827,4.409090909,5
790,313,365,354,401,12493,8.923076923,13
955,324,379,397,444,12645,7.264347826,10
731,359,402,410,447,14412,8.833333333,10
554,183,186,211,224,7394,5.4375,10
3259,267,626,508,591,19399,7.666666667,10
0,303,664,388,725,33139,5.466666667,6
714,324,463,383,463,16087,4.571428571,5
566,352,378,363,380,13762,3.571428571,6
718,410,443,425,462,14721,8.578947368,10
589,200,239,266,298,11309,6.142857143,10
2352,363,478,434,530,18059,15,10
2196,606,797,700,875,34050,10.625,15
876,337,353,403,439,15017,15.25,23
661,259,286,292,327,11461,12.5,15
838,163,176,235,241,6653,6.666666667,7
770,417,426,450,454,14053,10.6,20
605,306,335,343,362,14037,6.285714286,10
481,322,318,359,352,11478,5.857142857,7
233,212,218,312,356,10305,13,20
670,182,194,239,252,8448,8.857142857,10
900,273,337,336,455,19298,13.6,15
914,406,419,425,423,13658,7.454545455,9
570,273,322,341,406,15035,8,15
583,228,280,291,354,10308,12.75,20
1730,794,843,833,899,35252,13.75,25
1244,418,423,450,459,14816,15,15
1182,269,374,361,482,16352,17.5,10
800,283,398,338,425,15160,16.6,23
583,360,374,405,434,24198,9.666666667,14
2698,505,596,531,619,20452,25,25
351,241,278,283,304,9113,14,25
513,210,234,260,283,9233,3.411764706,5
962,389,369,415,409,15980,9.277777778,10
920,419,462,453,501,18450,12.5,25
2375,327,358,331,377,16653,11.55555556,19
458,231,241,308,323,12539,12.16666667,13
981,379,383,396,415,13631,6.5,9
440,270,288,315,364,11109,4.705882353,5
1708,342,413,374,455,21795,12.6875,16
340,180,227,235,279,9343,15.33333333,20
4462,713,792,781,849,29646,44.375,25
1082,369,454,432,515,20355,13,100
574,299,363,360,420,17296,6.166666667,14
5626,1023,1109,969,1051,62324,30.75,100
510,210,246,261,289,8427,7.05,11
529,247,357,296,392,12247,6.142857143,6
3254,481,607,485,614,18646,25,30
1161,448,484,536,570,20691,5.75,6
1420,351,433,388,420,14537,4.5,4
376,197,216,244,265,7696,20.18181818,10
583,310,371,385,452,17243,8.5,25
612,359,404,380,400,14320,13,20
729,407,444,448,483,13568,4.875,5
2291,353,407,402,440,13687,8.875,15
633,309,326,351,391,13407,12.33333333,16
859,473,499,503,529,16331,10.33333333,15
1024,441,451,446,472,13462,10.5,32
2500,272,236,298,278,15913,25.5,28
1599,911,1022,932,999,44971,7.428571429,20
1082,482,566,522,609,22454,10.08333333,7
920,323,375,404,449,15305,17.375,38
3100,133,488,306,497,18262,18.33333333,20
2925,288,305,353,376,23046,7.523809524,10
933,224,290,333,406,14946,10,15
994,404,475,485,530,17420,13.77777778,25
3017,740,962,867,985,62084,9,15
3197,296,347,328,380,13818,4.111111111,4
3912,351,410,404,454,19508,6,7
570,310,339,333,352,12329,6.904761905,8
2439,521,572,574,619,21808,17,19
859,428,454,442,482,15841,20,30
515,258,276,302,327,11337,5.857142857,10
755,163,233,230,335,15510,7,7
540,191,215,195,237,10336,10.5,10
398,193,207,195,210,6768,8.769230769,11
290,246,240,276,281,8204,7,7
631,286,324,333,373,13818,12.21428571,10
860,324,351,346,375,15491,11.33333333,20
668,187,191,239,240,6845,6,10
2347,471,570,574,669,30302,7.8,10
354,222,248,253,269,9579,7.8,8
3491,791,828,853,903,32718,20,20
824,225,308,293,383,13090,7.483333333,11
339,254,271,293,321,9822,5.928571429,10
3997,896,915,919,945,41664,10.625,23
493,244,305,273,337,12105,15,15
1437,509,575,611,664,25226,25,16
1125,360,359,447,463,13930,6.714285714,5
3247,653,666,722,732,24693,6.147058824,7
216,211,272,258,299,9250,5.9375,10
639,228,269,289,333,12224,3.8,5
960,479,526,548,613,19518,15.2,20
695,304,299,325,346,15245,12.2,10
633,269,273,291,299,9551,25,20
427,231,290,290,341,10388,27.5,40
558,298,301,327,345,10331,14.77777778,20
647,285,317,300,338,12910,8.916666667,5
880,438,492,454,501,16797,10.125,10
5882,533,596,623,657,31652,9.777777778,15
852,364,393,408,459,15238,7.933333333,10
0,0,0,0,0,0,14.91666667,10
948,531,530,585,584,19537,5.484848485,5
569,171,193,216,239,8827,8.566666667,10
1088,241,288,308,343,10050,20,20
1667,541,603,592,624,21458,13.33333333,20
3071,626,694,704,746,24844,12.53333333,25
4433,711,724,790,817,30060,9,25
929,505,546,561,606,22435,15,17
650,174,203,216,251,9170,15,15
1875,68,138,96,138,9127,8.333333333,10
381,284,354,319,381,11085,10.07142857,16
728,306,335,297,330,10468,11.22222222,14
457,244,272,278,306,9868,9.592592593,20
410,167,194,209,245,9355,8.076923077,10
340,136,150,165,196,7061,3.6,5
313,142,165,210,251,9665,15,15
1083,450,502,506,557,18815,11.125,10
377,256,304,275,309,11657,9.8,15
883,281,333,315,362,11791,14.85714286,20
1070,310,354,384,435,16741,8.682926829,9
2094,600,606,639,654,22914,11.46153846,14
1015,354,360,404,422,13340,8.25,15
281,280,314,274,342,10874,7.714285714,14
468,228,300,278,326,10910,21.5,25
3952,696,715,774,786,24913,15,25
765,408,430,441,472,15150,33.5,35
1070,505,510,529,518,16105,7.583333333,8
745,275,301,295,325,10957,20,20
1287,534,553,604,632,31394,17.125,15
429,192,215,224,259,8712,6.866666667,8
955,521,573,621,653,22275,10.96818182,5
496,246,266,294,317,11305,11.8,17
3092,578,644,641,720,25768,17.33333333,25
1210,471,519,511,553,17995,12.22222222,12
677,207,232,268,301,11672,8.954545455,10
1007,433,498,543,608,22698,17.5,35
1162,529,560,571,612,18860,10.125,15
902,435,465,481,508,16699,10,21
470,204,238,265,295,11699,5.833333333,10
875,226,224,254,254,7095,6,10
332,218,278,269,330,11739,11.4,25
494,221,270,270,313,10505,9.222222222,16
542,211,245,269,361,19216,15.4,15
630,355,396,395,437,15914,13,20
698,287,372,376,454,17175,6.4,8
628,310,344,337,369,12788,8.333333333,10
789,383,434,412,462,17643,9.916666667,25
1357,521,534,571,587,20642,13,16
1901,470,515,481,497,15015,3.55,3
482,302,328,396,462,15573,12.5,20
5798,1036,1050,975,1013,41428,10.5,15
1232,213,244,258,280,8135,7.75862069,15
634,183,223,238,277,10473,15.4375,28
322,190,240,239,302,10909,13.41666667,10
894,423,481,452,509,19549,11.5,25
575,231,245,248,269,9659,15,21
618,233,310,302,394,12864,10.25,30
2208,517,536,539,556,18361,9.8,11
5975,1500,1500,1311,1331,90600,22.2,25
1500,282,353,332,382,13859,5.24,6
645,359,376,360,381,11050,7.666666667,10
3273,609,608,694,659,35239,16.66666667,20
886,482,465,447,433,13887,16.66666667,20
825,401,463,464,555,28003,25,30
1354,515,506,530,540,22028,8.636363636,15
948,330,365,368,411,17728,9.4,35
483,198,231,245,283,9290,4.833333333,5
506,270,323,326,346,12940,8.6,12
1553,634,653,694,725,29972,23.33333333,25
428,215,250,264,308,10674,8.733333333,10
717,302,458,349,432,15614,9.7,25
1614,518,507,569,562,19728,4.5,5
1373,518,534,612,655,26092,15,15
535,274,327,324,354,13540,6.5,15
2973,614,674,656,721,30483,25,25
2182,555,561,559,569,17516,6.590909091,10
831,408,415,426,445,12932,25,30
685,359,365,372,375,14570,3.589285714,12
850,484,501,465,495,17174,8.230769231,5
2357,523,530,660,667,25983,5.375,6
868,359,384,399,430,14270,2.315789474,5
1067,481,529,534,580,17607,11.25,14
1525,466,483,522,551,17484,9.6,14
553,306,309,333,348,9296,8.916666667,10
432,311,319,323,364,11095,10.76470588,10
1952,483,527,522,578,19585,5.222222222,15
375,167,215,216,265,9007,15,15
860,358,395,393,435,14984,9.238095238,10
1857,594,668,660,733,27547,15.85714286,16
307,159,169,204,216,7110,10.55172414,10
515,269,284,336,362,13550,26.95,10
3074,627,679,670,705,23887,14.8,15
402,162,192,210,241,9434,9.214285714,11
0,0,0,0,0,0,8.266666667,15
2264,430,441,404,392,16795,11,15
442,218,253,257,286,9399,9.166666667,5
893,252,295,308,356,13617,16,5
900,437,1151,643,1093,64360,20,20
872,294,307,343,356,12433,20.4,25
897,454,473,444,479,15887,13,15
1315,328,384,398,472,15767,4.818181818,3
240,202,232,243,267,9288,7.909090909,8
316,200,256,237,278,9619,4.142857143,4
1075,511,556,552,590,20216,5.8,6
340,149,151,173,188,6842,10,20
725,305,309,349,360,13264,10.22222222,14
584,262,332,346,386,13898,7.421052632,5
3355,615,701,624,710,21001,25,30
973,468,514,506,542,17726,11.4,25
1380,557,584,580,622,18328,10.375,12
973,506,521,549,571,17806,7.2,8
547,341,379,350,421,14250,7.6,10
592,244,341,306,392,12220,12.5,5
1185,354,373,369,383,11061,21.66666667,5
717,267,304,381,410,12937,8.75,5
311,219,239,276,304,9321,15,15
1310,327,316,411,399,11859,20,25
950,264,295,330,378,20090,4.142857143,5
298,268,281,267,303,9838,6.625,4
476,210,254,272,310,10171,13,21
2574,305,308,338,348,11908,13.71428571,25
592,227,210,264,267,9711,10.30769231,20
3256,538,603,624,628,21944,14.28571429,10
540,310,332,361,399,11230,5.4375,11
312,140,157,186,205,7514,10.3,15
838,174,221,251,304,11984,11.2,10
1395,471,509,580,642,28892,20.875,25
965,356,453,426,495,19633,9.538461539,10
876,515,525,576,574,18148,4.266666667,5
1124,556,566,608,612,20826,25,25
1486,361,406,489,528,17774,12.75,23
517,194,194,313,313,14125,9.285714286,23
1206,542,545,516,541,18113,13,5
448,291,309,330,359,11662,10.5,20
835,263,278,315,322,11267,6.916666667,12
387,203,252,244,281,9654,6.333333333,8
407,157,193,221,260,7762,16.66666667,22
883,294,315,355,363,13642,14.25,19
1187,400,448,438,469,21608,17.88888889,25
517,223,321,287,398,17671,8,10
814,343,430,421,472,17392,4.206896552,10
904,339,446,442,510,20426,10.6,20
1663,270,403,345,439,18042,4,4
4708,479,512,531,627,27598,10.06666667,16
908,487,482,499,493,14526,5.090909091,5
952,474,478,467,482,17141,14.58823529,16
465,271,295,298,338,11843,5.285714286,5
835,413,414,429,410,14004,19.66666667,23
403,276,292,305,318,10799,13,15
1128,409,467,442,481,15936,14.5,20
1362,724,754,714,724,23403,6.5625,10
537,365,415,410,473,19387,5.666666667,7
418,188,227,220,241,7470,15,15
283,212,291,288,333,9043,19.16666667,25
1104,266,275,323,319,9833,2.637931034,3
967,381,391,392,426,10138,8.416666667,10
677,258,278,282,300,11699,10.66666667,4
3573,1245,1474,1065,1179,83519,10.33333333,24
928,408,452,444,452,17067,12.83333333,15
2380,274,348,315,417,16569,14.18181818,15
616,403,423,406,443,14174,14.8,20
359,205,260,250,292,9279,9,10
692,203,266,249,304,14602,7.6,15
1325,381,458,403,464,19380,16.35294118,26
522,327,358,389,453,17608,14,20
0,0,0,0,0,0,8.777777778,10
690,419,451,468,490,15715,12.33333333,15
770,103,239,161,278,10556,8.352941177,10
1600,548,551,603,608,21369,17,25
1401,232,252,274,305,10481,14.33333333,10
640,381,414,403,450,15499,6.928571429,5
0,0,0,0,0,0,16.78571429,25
892,380,406,426,468,19444,17,30
813,325,372,356,425,17373,5.071428571,5
389,207,234,253,286,9933,12.66666667,20
423,213,280,276,330,11676,8.166666667,9
711,267,305,307,363,15229,3.857142857,4
2153,320,379,360,397,15000,22.5,35
347,210,255,229,286,10356,8.076923077,20
660,282,291,327,335,10743,5.5,12
713,360,372,408,429,12547,11.3125,17
1344,458,490,595,671,44193,4.142857143,4
3449,791,813,818,850,24830,6.0625,5
616,342,373,375,403,11510,4.416666667,5
441,260,321,300,353,12452,8.428571429,11
1701,355,493,486,615,25527,10.68421053,11
582,361,368,385,392,12270,9.666666667,10
496,263,307,287,325,11296,12.28571429,30
3461,404,423,479,514,17618,6.153846154,10
1778,411,480,439,503,18236,6.527777778,12.5
991,493,506,532,548,17344,5.8,9
421,157,172,208,240,7183,9.8,26
341,160,215,215,252,8707,4,5
1167,211,272,329,406,16425,11.14285714,15
604,344,385,339,391,12452,10.71875,11
2625,513,533,517,523,15740,12.82608696,10
5500,365,424,456,614,31227,11.53846154,35
1248,371,394,384,401,13104,6.363636364,8
776,378,422,406,439,14465,4.35,5
2115,501,451,531,489,15325,14,20
689,344,359,368,377,16348,22.28571429,30
499,260,289,291,324,10632,9.25,11
347,245,310,286,328,12777,4.904761905,7
1175,517,568,565,599,18850,5.666666667,25
1000,453,463,458,478,15134,8.772727273,12
1383,410,464,499,562,22875,7,8
902,468,501,540,580,20328,4.066666667,4
609,220,238,297,319,11902,9.166666667,15
3813,730,807,770,852,32713,23.33333333,25
1570,339,345,364,366,9099,5.533333333,8
395,135,137,181,186,5225,21.74111111,5
313,138,165,189,216,7617,17.75,16
772,312,338,349,376,12012,7.166666667,10
460,237,279,281,315,10728,13.85714286,20
2645,644,655,682,697,20782,8.75,15
385,310,336,338,383,12612,13.09090909,21
791,361,407,390,428,13805,7.636363636,12
381,219,267,257,282,8259,9.0625,10
627,367,427,394,444,15350,7.5,10
426,267,315,314,343,13836,16.75,20
364,170,231,221,277,8962,10,25
739,309,402,405,451,17709,10.42857143,10
598,253,294,301,338,11918,8,9
310,128,171,199,233,7656,5.736842105,5
902,410,413,460,461,15332,12.4,21
365,98,310,221,330,9470,15,15
693,124,389,223,383,12596,4.5,6
650,139,131,243,238,9698,8.909090909,13
1036,436,524,520,603,22334,4.166666667,5
1033,488,611,565,651,22157,10.33333333,10
824,248,274,288,326,15008,10.15384615,10
956,205,272,272,325,13234,6.085714286,15
878,310,517,433,588,22281,10.13333333,16
665,224,246,276,323,12187,5.466666667,8
226,183,288,228,263,8763,14,50
1533,616,636,672,698,20690,9.1,20
1453,512,607,590,658,22926,15,21
916,434,421,458,457,12450,18.46153846,10
460,247,357,300,372,11245,9.363636364,5
1035,273,386,356,471,14432,11.42857143,15
1055,319,379,375,421,16161,14,20
985,492,568,595,680,24807,6.428571429,15
1011,593,588,650,650,17606,6.5,15
500,245,308,304,314,12271,15,21
676,156,172,201,203,4877,12.13333333,19
891,442,446,439,440,13070,8.714285714,5
914,421,530,467,543,20079,16.5,30
842,264,286,370,388,15084,15.1,20
413,166,239,259,323,11274,4.848484849,5
2379,464,651,596,755,31616,19,10
386,258,301,313,358,12513,11.66666667,13
1236,461,467,513,544,17784,5.375,5
1576,388,418,528,579,24013,12.85714286,10
1257,231,509,350,535,19180,5.625,6
2750,668,701,717,781,26199,11.44444444,15
1093,364,424,392,441,15640,4.25,5
696,354,402,407,472,15493,6.888888889,8
517,213,256,240,269,8518,12.22222222,10
691,249,406,311,436,13489,5,5
1756,349,355,384,388,10285,13,10
883,374,421,417,466,19246,7.083333333,5
471,282,307,273,298,9015,10.33333333,15
1745,397,512,485,521,18427,8,5
